x,y,z,visible_cameras,nx,ny,nz
31.7030,17.3838,-73.4501,7.0000,-0.4052,-0.0003,0.9142
21.8041,-34.1339,76.9713,6.0000,-0.3060,0.0020,-0.9520
55.8094,-27.2231,-57.3176,6.0000,-0.6769,0.0006,0.7360
-31.9748,-11.4117,73.3322,7.0000,0.3782,0.0012,-0.9257
-4.0896,-35.8654,-79.8954,7.0000,0.0829,0.0007,0.9966
25.0373,51.9495,75.9812,6.0000,-0.3054,0.0012,-0.9522
-45.0631,-28.9491,66.1008,7.0000,0.5762,0.0001,-0.8173
-38.9884,-45.8515,69.8563,7.0000,0.4778,0.0010,-0.8785
79.2899,23.2635,-10.6354,6.0000,-0.9831,-0.0013,0.1828
-79.6053,56.7272,7.9373,7.0000,0.9939,-0.0035,-0.1101
4.7304,32.4893,79.8600,7.0000,-0.0140,0.0013,-0.9999
74.6805,-6.7901,-28.6849,7.0000,-0.9260,-0.0010,0.3775
-71.7987,36.8971,-35.2838,7.0000,0.8795,-0.0008,0.4758
-78.5705,54.8666,15.0559,6.0000,0.9781,-0.0001,-0.2083
-61.4518,-17.4413,51.2219,7.0000,0.7980,-0.0013,-0.6026
-79.8246,36.7401,-5.2944,7.0000,0.9966,-0.0011,0.0824
-75.7353,49.9245,-25.7713,6.0000,0.9601,0.0001,0.2797
79.7395,-43.3382,-6.4511,7.0000,-0.9964,0.0008,0.0849
-78.5117,28.8162,-15.3595,6.0000,0.9835,-0.0016,0.1811
68.9086,-58.7212,40.6400,7.0000,-0.8633,-0.0051,-0.5046
1.9514,-11.5749,-79.9762,7.0000,-0.0137,0.0001,0.9999
-78.2523,25.7275,-16.6306,6.0000,0.9835,-0.0016,0.1811
-74.9490,-49.1249,-27.9760,7.0000,0.9265,0.0002,0.3763
-28.8568,12.0024,-74.6142,7.0000,0.3769,-0.0009,0.9263
-14.6742,-46.4954,78.6427,6.0000,0.1828,-0.0006,-0.9832
-61.7893,45.2025,50.8141,7.0000,0.7962,0.0012,-0.6051
-71.5542,45.8182,-35.7770,7.0000,0.8801,-0.0014,0.4748
-63.6848,-10.2389,-48.4174,7.0000,0.8164,-0.0023,0.5775
-26.9187,13.9727,-75.3352,7.0000,0.3769,-0.0009,0.9263
-46.7331,30.6632,64.9308,7.0000,0.5747,-0.0008,-0.8184
-74.3527,-41.4513,-29.5241,7.0000,0.9257,0.0008,0.3784
78.0741,-54.7069,-17.4479,6.0000,-0.9832,-0.0005,0.1823
18.7097,-5.8288,-77.7814,6.0000,-0.2084,-0.0010,0.9780
-70.6850,58.2489,37.4650,7.0000,0.8655,0.0021,-0.5009
-2.4773,43.0311,79.9616,7.0000,-0.0154,-0.0006,-0.9999
-77.4565,-23.2296,20.0123,6.0000,0.9780,0.0004,-0.2087
17.5381,-39.1951,-78.0539,6.0000,-0.2077,0.0015,0.9782
-77.8345,-43.5451,18.4876,6.0000,0.9779,0.0003,-0.2091
28.3747,45.1792,-74.7989,7.0000,-0.4053,0.0000,0.9142
-78.9840,-24.8980,-12.7095,6.0000,0.9833,0.0004,0.1819
-62.4117,34.1138,50.0478,7.0000,0.7970,-0.0004,-0.6040
1.0595,28.1650,79.9930,7.0000,-0.0140,0.0013,-0.9999
49.6719,3.5520,-62.7113,7.0000,-0.6034,0.0019,0.7975
62.1494,-5.2417,50.3731,7.0000,-0.7990,0.0012,-0.6013
-18.5125,-20.3070,-77.8286,6.0000,0.2783,0.0000,0.9605
-79.3568,20.7238,10.1240,7.0000,0.9936,0.0002,-0.1126
44.2614,-4.8581,-66.6403,7.0000,-0.5834,0.0008,0.8122
79.2051,38.5302,11.2492,7.0000,-0.9937,-0.0003,-0.1121
-65.7537,-17.9170,-45.5681,7.0000,0.8216,0.0005,0.5700
-52.3827,9.5513,-60.4653,6.0000,0.6639,0.0009,0.7479
73.2638,-20.4897,-32.1311,7.0000,-0.9263,-0.0004,0.3768
32.5401,6.7712,73.0831,7.0000,-0.4042,0.0003,-0.9147
-21.2589,27.4615,-77.1237,6.0000,0.2789,-0.0013,0.9603
45.2837,54.5042,65.9499,7.0000,-0.6031,-0.0002,-0.7977
66.3839,3.8823,-44.6450,7.0000,-0.8189,-0.0011,0.5740
-40.2522,27.3393,69.1358,7.0000,0.4759,-0.0008,-0.8795
-79.9835,-0.2200,1.6234,7.0000,0.9999,0.0009,-0.0135
-72.1484,16.2117,-34.5630,7.0000,0.8801,0.0009,0.4748
29.8706,-47.7629,-74.2142,7.0000,-0.4031,-0.0007,0.9152
27.9857,21.2028,74.9453,6.0000,-0.3072,0.0001,-0.9516
79.3800,-45.6079,-9.9407,7.0000,-0.9963,-0.0001,0.0854
-25.4041,-28.2976,75.8593,6.0000,0.2779,-0.0007,-0.9606
-71.2891,5.1866,36.3024,7.0000,0.8644,-0.0008,-0.5029
17.4269,24.4866,78.0788,6.0000,-0.2090,0.0008,-0.9779
-41.8965,-46.7158,-68.1519,7.0000,0.5723,0.0018,0.8201
76.5711,-26.8968,23.1705,6.0000,-0.9518,0.0010,-0.3068
57.6897,52.8376,-55.4248,6.0000,-0.7234,-0.0004,0.6904
43.2707,8.3338,-67.2878,7.0000,-0.5043,-0.0012,0.8635
7.0181,58.2058,79.6916,7.0000,-0.1113,0.0010,-0.9938
-75.6920,-29.7328,25.8984,6.0000,0.9519,-0.0001,-0.3064
55.5958,20.1540,57.5249,6.0000,-0.7077,0.0009,-0.7065
33.1614,-42.9244,-72.8033,7.0000,-0.4027,-0.0017,0.9153
14.8304,-8.3645,-78.6133,6.0000,-0.2081,0.0001,0.9781
-70.4581,-24.6051,-37.8900,7.0000,0.8796,-0.0002,0.4757
71.0371,22.6415,36.7931,7.0000,-0.8639,0.0005,-0.5036
78.6106,52.4902,-14.8451,6.0000,-0.9836,0.0011,0.1806
-70.0792,35.6286,38.5863,7.0000,0.8623,-0.0005,-0.5064
-72.3791,-47.7824,-34.0773,7.0000,0.8869,-0.0000,0.4619
-73.2751,-49.9867,-32.1055,7.0000,0.9265,0.0002,0.3763
-44.7582,-7.0382,66.3076,7.0000,0.5755,0.0010,-0.8178
-66.1893,48.5589,-44.9330,7.0000,0.8199,0.0008,0.5726
-9.5650,29.5862,79.4261,7.0000,0.0840,-0.0005,-0.9965
-49.5364,-43.4859,-62.8183,6.0000,0.6632,-0.0014,0.7484
